State,ElectionYear,totalMigration,PreviousWinner,skew2016,NewWinner,skew2020,difference,State_abb
PENNSYLVANIA,2020,244227,RED,-44292,BLUE,80555,RED -> BLUE,PA
ARIZONA,2020,173696,RED,-91234,BLUE,10457,RED -> BLUE,AZ
MASSACHUSETTS,2020,158008,BLUE,904303,BLUE,1215000,BLUE -> BLUE,MA
OREGON,2020,131071,BLUE,219703,BLUE,381935,BLUE -> BLUE,OR
NEW JERSEY,2020,106673,BLUE,546345,BLUE,725061,BLUE -> BLUE,NJ
NEVADA,2020,106229,BLUE,27202,BLUE,33596,BLUE -> BLUE,NV
CONNECTICUT,2020,104121,BLUE,224357,BLUE,366114,BLUE -> BLUE,CT
WASHINGTON,2020,91147,BLUE,520971,BLUE,784961,BLUE -> BLUE,WA
MARYLAND,2020,81686,BLUE,734759,BLUE,1008609,BLUE -> BLUE,MD
NEW HAMPSHIRE,2020,81404,BLUE,2736,BLUE,59267,BLUE -> BLUE,NH
CALIFORNIA,2020,78672,BLUE,4269978,BLUE,5103821,BLUE -> BLUE,CA
DISTRICT OF COLUMBIA,2020,77003,BLUE,270107,BLUE,298737,BLUE -> BLUE,DC
NEW YORK,2020,76846,BLUE,1852647,BLUE,1986187,BLUE -> BLUE,NY
IDAHO,2020,62229,RED,-219290,RED,-267098,RED -> RED,ID
WISCONSIN,2020,57594,RED,-22748,BLUE,20682,RED -> BLUE,WI
RHODE ISLAND,2020,54023,BLUE,71982,BLUE,107564,BLUE -> BLUE,RI
ALASKA,2020,45278,RED,-46933,RED,-36173,RED -> RED,AK
VERMONT,2020,36387,BLUE,83204,BLUE,130116,BLUE -> BLUE,VT
MAINE,2020,32002,BLUE,22142,BLUE,74335,BLUE -> BLUE,ME
UTAH,2020,28470,RED,-204537,RED,-304858,RED -> RED,UT
HAWAII,2020,17289,BLUE,138044,BLUE,169266,BLUE -> BLUE,HI
DELAWARE,2020,16886,BLUE,50476,BLUE,95665,BLUE -> BLUE,DE
NORTH DAKOTA,2020,15803,RED,-123036,RED,-120693,RED -> RED,ND
MONTANA,2020,9152,RED,-101531,RED,-98816,RED -> RED,MT
WYOMING,2020,-3470,RED,-118446,RED,-120068,RED -> RED,WY
FLORIDA,2020,-10244,RED,-112911,RED,-371686,RED -> RED,FL
SOUTH DAKOTA,2020,-14698,RED,-110263,RED,-110572,RED -> RED,SD
IOWA,2020,-22893,RED,-147314,RED,-138611,RED -> RED,IA
WEST VIRGINIA,2020,-32939,RED,-300577,RED,-309398,RED -> RED,WV
NEW MEXICO,2020,-40338,BLUE,65567,BLUE,99720,BLUE -> BLUE,NM
NEBRASKA,2020,-52880,RED,-211467,RED,-182263,RED -> RED,NE
VIRGINIA,2020,-57325,BLUE,212030,BLUE,451138,BLUE -> BLUE,VA
INDIANA,2020,-70564,RED,-524160,RED,-487103,RED -> RED,IN
NORTH CAROLINA,2020,-78374,RED,-173315,RED,-74481,RED -> RED,NC
COLORADO,2020,-103979,BLUE,136386,BLUE,439745,BLUE -> BLUE,CO
MICHIGAN,2020,-105320,RED,-10704,BLUE,154188,RED -> BLUE,MI
LOUISIANA,2020,-105994,RED,-398484,RED,-399742,RED -> RED,LA
MISSISSIPPI,2020,-106927,RED,-215583,RED,-217366,RED -> RED,MS
TEXAS,2020,-110278,RED,-807179,RED,-631221,RED -> RED,TX
ARKANSAS,2020,-117405,RED,-304378,RED,-336715,RED -> RED,AR
MINNESOTA,2020,-119179,BLUE,44756,BLUE,233012,BLUE -> BLUE,MN
KANSAS,2020,-129451,RED,-244013,RED,-201083,RED -> RED,KS
SOUTH CAROLINA,2020,-134272,RED,-300016,RED,-293562,RED -> RED,SC
MISSOURI,2020,-135128,RED,-523443,RED,-465722,RED -> RED,MO
OKLAHOMA,2020,-136987,RED,-528761,RED,-516390,RED -> RED,OK
KENTUCKY,2020,-160778,RED,-574117,RED,-554172,RED -> RED,KY
ALABAMA,2020,-190120,RED,-588708,RED,-591546,RED -> RED,AL
OHIO,2020,-220065,RED,-446841,RED,-475669,RED -> RED,OH
ILLINOIS,2020,-235441,BLUE,944714,BLUE,1025024,BLUE -> BLUE,IL
TENNESSEE,2020,-236553,RED,-652230,RED,-708764,RED -> RED,TN
GEORGIA,2020,-285891,RED,-211141,BLUE,11779,RED -> BLUE,GA
